,Latitude,Longitude
132,25.3814076,86.8207789
133,24.87176,86.9869722
134,25.1536244,86.9342411
135,2.2798117,87.2941568
136,13.9101,77.7201
137,14.23,77.63
138,18.6845544,78.0773742
139,18.5329923,77.618717
140,18.5329923,77.618717
141,18.3096558,77.9466324
142,18.2108201,78.4853495
143,18.2127127,78.549741
144,18.1894413,78.5477163
145,18.3201713,78.3363317
146,18.3258076,78.390802
147,18.324703,78.3361217
148,24.98773,71.32367
149,26.105107,72.175883
150,26.243,73.021
151,24.803237,71.218754
152,18.3212004,78.4365975
153,18.1745669,78.1611606
154,18.22808,78.1813655
155,18.5170016,77.7086999
156,18.1057875,78.0782538
157,18.2258833,77.967685
158,18.2298028,77.9355044
159,18.508287,77.970239
160,18.3195315,77.9114506
161,18.1277984,78.4665583
162,18.1900503,78.3900424
163,18.1837178,78.5129407
164,18.4344583,77.7564916
165,18.2673626,78.4995897
166,18.41245,78.689513
167,18.3096846,78.3703829
168,18.3330237,78.4974098
169,18.3439451,78.3037806
170,18.4592782,77.7291779
171,13.9,79.0
172,14.49,78.91
173,14.5,78.9
174,14.48,78.93
175,13.91,78.94
176,14.01,78.92
177,13.97,78.9
178,14.05,78.91
179,13.97,78.92
180,14.3394519,79.2368327
181,30.2204,76.4964
182,30.1407,76.6146
183,24.55,92.59
184,24.55,92.59
185,24.76,92.59
186,24.76,92.59
187,24.76,92.59
188,28.61,80.08
189,28.61,80.08
190,24.45,92.55
191,24.45,92.55
192,24.45,92.55
193,24.45,92.55
194,24.08,92.15
195,24.08,92.15
196,24.36,92.85
197,24.68,92.56
198,24.68,92.56
199,24.68,92.56
200,24.68,92.56
201,0.0,0.0
202,24.76,92.59
203,28.61,80.08
204,28.61,80.08
205,24.45,92.55
206,85.333,25.365
207,24.365,86.366
208,85.363,26.363
209,24.6956,84.3659
210,25.222,86.2366
211,25.332,85.633
212,25.342,87.1397
213,25.34256,86.1392
214,25.3422,86.1377
215,26.4272,86.22447
216,24.569,86.968
217,25.3217,87.1774
218,25.699,86.365
219,25.352,87.0612
220,25.365,86.369
221,24.255,86.365
222,25.4181,87.1143
223,25.3295,87.5136
224,25.3219,87.4136
225,86.26455,24.5166
226,25.3269,87.4136
227,26.2365,87.3959
228,26.2475,87.3979
229,86.26455,24.75533
230,25.9232,85.01946
231,25.3224,87.4309
232,24.069,86.239
233,24.2016,86.214
234,25.308,87.201
235,24.289,87.208
236,86.65224,24.75533
237,24.35,84.358
238,86.26455,24.7553
239,24.9237,86.9325
240,24.9337,86.9695
241,18.4952366,77.6680116
242,18.4416098,77.6221275
243,18.0959539,78.12191
244,18.1138237,78.1712936
245,18.1089555,78.1281076
246,18.2298028,77.9355044
247,18.2892081,77.7583006
248,18.2598359,77.7984784
249,18.3072385,77.7833154
250,18.2053774,77.803566
251,18.2639486,77.8523308
252,18.171855,78.25187
253,18.1911816,78.2794166
254,18.44509,78.240281
255,18.4101118,78.2721116
256,18.3661903,78.2836704
257,18.2792248,78.2341277
258,18.7618413,77.9210267
259,18.7918788,77.8730326
260,18.7458966,77.947735
261,18.7458966,77.947735
262,18.4491407,77.8153681
263,18.6010736,77.9141242
264,18.6680476,77.7787256
265,18.701231,77.8537928
266,18.7154871,77.8797369
267,18.647018,78.133392
268,18.6937116,78.052145
269,18.6937116,78.052145
270,18.8111298,78.0629922
271,18.8243042,78.0683075
272,18.8054964,78.0428765
273,18.33335,77.6983916
274,18.3295916,77.7315616
275,15.65,77.45
276,14.68,77.66
277,26.7606,83.3732
278,18.4676183,79.2467683
279,18.5116556,79.2236202
280,18.4948966,79.2676577
281,18.463131,79.5066198
282,18.4321487,79.494105
283,18.5451295,79.4288607
284,18.5095705,79.3828487
285,18.4244906,79.4309151
286,18.4098826,79.5211359
287,18.4540369,79.4475796
288,18.7727901,79.3054696
289,18.783348,79.3229419
290,18.8216837,79.4019076
291,18.6941516,79.2989033
292,18.693075,79.427375
293,18.7187683,79.3812483
294,18.5670611,79.5783635
295,18.6308454,79.5736787
296,18.5838484,79.2742354
297,18.5231895,79.2752419
298,18.5298987,79.2367387
299,18.7689283,79.5234681
300,18.7832158,79.4812184
301,18.6852945,79.5193409
302,18.6673368,79.514244
303,18.6681544,79.4216846
304,18.4729098,79.2167847
305,18.2584516,79.5357133
306,18.1982602,79.4410683
307,18.2069835,79.368333
308,18.2421096,79.4142865
309,24.45,92.55
310,24.45,92.55
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,17.301362,78.60885
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,86.65224,24.85533
343,25.8265,85.7876
344,24.9325,86.6762
345,24.9658,86.4728
346,87.0948,24.85533
347,25.358,86.239
348,24.207,86.259
349,24.368,84.358
350,86.65224,24.15468
351,24.029,86.297
352,24.201,86.248
353,25.267,84.357
354,25.0598,86.8389
355,25.0804,86.7303
356,25.0804,86.7303
357,25.0804,86.0303
358,16.2061,79.802
359,16.2193,79.7533
360,16.3455,79.7379
361,16.419,79.7497
362,16.443,79.6967
363,16.345,79.637
364,24.921,84.213
365,24.6326,84.62356
366,25.143531,87.020569
367,25.1536244,86.9342411
368,25.2496944,86.9869722
369,25.211,86.988
370,25.3241,87.0712
371,25.3808,87.2135
372,25.3908,87.2195
373,24.148,85.248
374,25.2231,87.4361
375,25.2232,87.4321
376,25.555,86.369
377,24.0364,86.0236
378,25.89007,71.150607
379,26.405837,73.010046
380,30.6389875,74.9985706
381,18.5509461,77.7873264
382,18.5672599,77.7721273
383,25.416675,86.129379
384,25.416675,86.129379
385,25.416675,86.129379
386,16.467452,81.509242
387,16.412996,81.47315
388,16.424421,81.479646
389,16.526313,81.396005
390,16.52828,81.383245
391,16.546825,81.40798
392,16.577316,81.645632
393,16.565716,81.629877
394,16.579799,81.623096
395,16.545316,81.513696
396,16.587004,81.532901
397,16.515868,81.543873
398,16.515402,81.595626
399,16.546978,81.610426
400,16.538866,81.606932
401,16.579162,81.430645
402,25.416675,86.129379
403,16.7,81.59
404,0.0,0.0
405,17.59,78.12
406,86.152,24.548
407,25.416675,86.129379
408,25.416675,86.129379
409,25.416675,86.129379
410,25.416675,86.129379
411,25.416675,86.129379
412,25.416675,86.129379
413,25.416675,86.129379
414,25.416675,86.129379
415,25.5000532,86.0402129
416,25.5329089,85.9981238
417,25.7379369,85.1510105
418,18.4539589,77.877045
419,18.4703804,77.8825672
420,18.4494355,77.8788242
421,18.5981949,77.94845
422,18.5663666,77.9188366
423,18.5998553,77.9993976
424,18.7942533,77.9778283
425,18.76392,78.0553816
426,18.71002,77.9981733
427,18.5407388,77.9194592
428,18.5407388,77.9194592
429,17.8155,76.7971
430,17.6258,78.5955
431,30.790411,74.699154
432,18.3860155,77.7949242
433,18.3393718,77.8846467
434,18.2967347,77.9024795
435,18.1946528,78.3653902
436,18.1632809,78.3989966
437,18.3708516,77.7408783
438,18.3137197,78.4559903
439,18.2233893,78.4516614
440,18.35771,78.1409383
441,18.3828083,78.066925
442,18.2746869,78.3558637
443,18.2515275,78.3603341
444,18.2171051,78.405877
445,18.3716726,78.3090759
446,18.3558646,78.329699
447,18.3193907,78.3222828
448,18.2921474,78.1160155
449,18.2004642,78.1276489
450,18.5329923,77.618717
451,18.4655447,77.5947896
452,18.4787566,77.6578199
453,18.2632537,78.3335367
454,18.4168236,78.4215379
455,18.3648215,78.4482065
456,18.3832431,78.3376219
457,18.4128686,78.5354213
458,18.2231027,78.0036348
459,18.1345709,77.9926778
460,18.2316507,77.756802
461,18.2632537,78.3335367
462,18.259275,78.2497883
463,18.4105263,78.3219411
464,18.441034,78.237848
465,18.106488,78.0427315
466,18.1948856,78.0148579
467,18.1948856,78.0148579
468,18.3389114,78.2170172
469,18.266342,78.222613
470,18.7372407,77.9031943
471,18.4842409,77.86523
472,18.4646473,77.8019238
473,18.6709873,77.7470805
474,18.6377136,77.8508534
475,18.647018,78.133392
476,18.647018,78.133392
477,18.6937116,78.052145
478,18.8111298,78.0629922
479,18.7963568,78.0287932
480,18.8534023,78.0339875
481,18.3892066,77.5954683
482,18.3649883,77.539875
483,18.31412,77.614685
484,18.6298832,77.74626
485,18.6305759,77.7909988
486,18.427403,77.5728932
487,18.445695,77.855289
488,18.7628816,77.9818416
489,18.8328733,77.9988949
490,18.2840423,78.0581409
491,18.1673313,78.0433781
492,18.1424726,78.0121491
493,18.1992492,78.0342518
494,18.3245277,78.2124444
495,18.819248,77.900276
496,18.691649,77.968597
497,16.9638551,80.3254796
498,17.33169,80.12005
